RCDTS,School Name,City,County,School Type,SAT Reading Average Score,SAT Math Average Score,Total SAT Score,SAT Score Percentage
340491280160004,Vernon Hills High School,Vernon Hills,Lake,HIGH SCHOOL,564.2,581.1,1145.3000000000002,71%
340491870260001,North Chicago Community High Sch,North Chicago,Lake,HIGH SCHOOL,404.1,379.1,783.2,48%
340492200260004,Barrington High School,Barrington,Lake,HIGH SCHOOL,553.0,554.2,1107.2,69%
350500010260001,Leland High School,Leland,La Salle,HIGH SCHOOL,484.7,437.1,921.8,57%
350500020260001,Serena High School,Serena,La Salle,HIGH SCHOOL,462.9,445.2,908.0999999999999,56%
350500090260001,Earlville Jr/Sr High School,Earlville,La Salle,HIGH SCHOOL,480.4,453.0,933.4,58%
350500400170001,Streator Twp High School,Streator,La Salle,HIGH SCHOOL,448.4,416.8,865.2,54%
350501200170001,La Salle-Peru Twp High School,La Salle,La Salle,HIGH SCHOOL,489.2,452.0,941.2,58%
350501400170001,Ottawa Township High School,Ottawa,La Salle,HIGH SCHOOL,465.5,444.6,910.1,56%
350501600170001,Seneca High School,Seneca,La Salle,HIGH SCHOOL,490.6,464.8,955.4000000000001,59%
350502800170001,Mendota Twp High School,Mendota,La Salle,HIGH SCHOOL,467.0,458.1,925.1,57%
350590050260001,Henry-Senachwine High School,Henry,Marshall,HIGH SCHOOL,454.5,448.4,902.9,56%
350590070260001,Midland High School,Varna,Marshall,HIGH SCHOOL,466.5,447.7,914.2,57%
350785350260002,Putnam County High School,Granville,Putnam,HIGH SCHOOL,486.7,452.6,939.3,58%
390550010260001,Argenta-Oreana High School,Argenta,Macon,HIGH SCHOOL,450.3,426.3,876.6,54%
390550020260001,Maroa-Forsyth Senior High Sch,Maroa,Macon,HIGH SCHOOL,524.6,486.5,1011.1,63%
390550030260001,Mt Zion High School,Mount Zion,Macon,HIGH SCHOOL,535.8,515.3,1051.1,65%
390550090260001,Sangamon Valley High School,Niantic,Macon,HIGH SCHOOL,451.9,429.1,881.0,55%
390550110260001,Warrensburg-Latham High School,Warrensburg,Macon,HIGH SCHOOL,468.0,421.6,889.6,55%
390550150260001,Meridian High School,Macon,Macon,HIGH SCHOOL,468.0,435.9,903.9,56%
390550610250036,Eisenhower High School,Decatur,Macon,HIGH SCHOOL,417.4,389.9,807.3,50%
390550610250038,MacArthur High School,Decatur,Macon,HIGH SCHOOL,427.7,391.1,818.8,51%
390740050260001,Bement High School,Bement,Piatt,HIGH SCHOOL,497.8,454.4,952.2,59%
390740250260001,Monticello High School,Monticello,Piatt,HIGH SCHOOL,523.6,499.5,1023.1,63%
390740570260001,Deland-Weldon High School,De Land,Piatt,HIGH SCHOOL,444.5,391.8,836.3,52%
390741000260001,Cerro Gordo Jr and Sr High School,Cerro Gordo,Piatt,HIGH SCHOOL,494.4,453.2,947.5999999999999,59%
400070400260001,Calhoun High School,Hardin,Calhoun,HIGH SCHOOL,441.7,433.0,874.7,54%
400070420260001,Brussels High School,Brussels,Calhoun,HIGH SCHOOL,506.0,490.0,996.0,62%
400310010260003,Carrollton High School,Carrollton,Greene,HIGH SCHOOL,437.0,453.6,890.6,55%
400310030260001,North Greene Jr/Sr High Sch,White Hall,Greene,HIGH SCHOOL,449.6,436.6,886.2,55%
400310100260001,Greenfield High School,Greenfield,Greene,HIGH SCHOOL,451.8,444.2,896.0,56%
400421000260001,Jersey Comm High School,Jerseyville,Jersey,HIGH SCHOOL,486.0,470.3,956.3,59%
400560010260002,Carlinville High School,Carlinville,Macoupin,HIGH SCHOOL,490.1,484.4,974.5,60%
400560020260004,Northwestern High School,Palmyra,Macoupin,HIGH SCHOOL,472.4,432.0,904.4,56%
400560050260001,Mt Olive High School,Mount Olive,Macoupin,HIGH SCHOOL,439.4,429.4,868.8,54%
400560060260001,Staunton High School,Staunton,Macoupin,HIGH SCHOOL,492.5,463.5,956.0,59%
400560070260003,Gillespie High School,Gillespie,Macoupin,HIGH SCHOOL,472.9,454.8,927.7,57%
400560080260001,Bunker Hill High School,Bunker Hill,Macoupin,HIGH SCHOOL,438.8,400.0,838.8,52%
400560090260001,Southwestern High School,Piasa,Macoupin,HIGH SCHOOL,467.2,452.4,919.5999999999999,57%
400560340260001,North Mac High School,Virden,Macoupin,HIGH SCHOOL,467.2,426.0,893.2,55%
410570010260001,Roxana Sr High School,Roxana,Madison,HIGH SCHOOL,457.0,445.1,902.1,56%
410570020260001,Triad High School,Troy,Madison,HIGH SCHOOL,515.9,513.3,1029.1999999999998,64%
410570050260001,Highland High School,Highland,Madison,HIGH SCHOOL,499.3,491.8,991.1,61%
410570070260001,Edwardsville High School,Edwardsville,Madison,HIGH SCHOOL,527.1,510.3,1037.4,64%
410570080260001,Civic Memorial High School,Bethalto,Madison,HIGH SCHOOL,478.6,445.1,923.7,57%
410570090260001,Granite City High School,Granite City,Madison,HIGH SCHOOL,452.0,426.0,878.0,54%
410570100260001,Collinsville High School,Collinsville,Madison,HIGH SCHOOL,460.8,437.2,898.0,56%
410570110260001,Alton High School,Alton,Madison,HIGH SCHOOL,459.0,447.5,906.5,56%
410570120260001,Madison Senior High School,Madison,Madison,HIGH SCHOOL,409.4,393.9,803.3,50%
410570140160001,East Alton-Wood River High Sch,Wood River,Madison,HIGH SCHOOL,446.7,423.1,869.8,54%
440630120260002,Johnsburg High School,Johnsburg,McHenry,HIGH SCHOOL,500.1,487.4,987.5,61%
440630190240002,Alden-Hebron High School,Hebron,McHenry,HIGH SCHOOL,435.2,445.2,880.4,55%
440630500260001,Harvard High School,Harvard,McHenry,HIGH SCHOOL,437.0,413.8,850.8,53%
440631540160001,Marengo High School,Marengo,McHenry,HIGH SCHOOL,486.7,480.8,967.5,60%
440631550160001,Crystal Lake Central High School,Crystal Lake,McHenry,HIGH SCHOOL,511.9,491.8,1003.7,62%
440631550160002,Cary-Grove Community High School,Cary,McHenry,HIGH SCHOOL,527.9,513.4,1041.3,65%
440631550160003,Crystal Lake South High School,Crystal Lake,McHenry,HIGH SCHOOL,502.0,483.0,985.0,61%
440631550160004,Prairie Ridge High School,Crystal Lake,McHenry,HIGH SCHOOL,524.7,520.2,1044.9,65%
440631560160003,McHenry Community High School,Mchenry,McHenry,HIGH SCHOOL,476.4,463.4,939.8,58%
440631570160001,Richmond-Burton High School,Richmond,McHenry,HIGH SCHOOL,515.5,522.6,1038.1,64%
440631580220002,Huntley High School,Huntley,McHenry,HIGH SCHOOL,524.4,505.0,1029.4,64%
440632000260008,Woodstock High School,Woodstock,McHenry,HIGH SCHOOL,508.3,481.6,989.9000000000001,61%
440632000260009,Woodstock North High School,Woodstock,McHenry,HIGH SCHOOL,498.9,475.7,974.5999999999999,60%
450670030260001,Valmeyer High School,Valmeyer,Monroe,HIGH SCHOOL,488.6,448.6,937.2,58%
450670040260001,Columbia High School,Columbia,Monroe,HIGH SCHOOL,511.0,508.4,1019.4,63%
450670050260001,Waterloo High School,Waterloo,Monroe,HIGH SCHOOL,507.1,501.4,1008.5,63%
450790010220001,Coulterville High School,Coulterville,Randolph,HIGH SCHOOL,441.7,402.2,843.9,52%
450791320260001,Red Bud High School,Red Bud,Randolph,HIGH SCHOOL,478.9,461.3,940.2,58%
450791380260001,Steeleville High School,Steeleville,Randolph,HIGH SCHOOL,497.3,515.0,1012.3,63%
450791390260001,Chester High School,Chester,Randolph,HIGH SCHOOL,454.7,420.1,874.8,54%
450791400260001,Sparta High School,Sparta,Randolph,HIGH SCHOOL,448.9,441.0,889.9,55%
470521700220001,Dixon High School,Dixon,Lee,HIGH SCHOOL,467.2,433.3,900.5,56%
470522720260001,Amboy High School,Amboy,Lee,HIGH SCHOOL,470.4,439.2,909.5999999999999,56%
470522750260001,Ashton-Franklin Center HS,Ashton,Lee,HIGH SCHOOL,475.7,427.1,902.8,56%
470712120170001,Rochelle Twp High School,Rochelle,Ogle,HIGH SCHOOL,466.2,456.9,923.0999999999999,57%
470712200260001,Oregon  Jr/Sr High School,Oregon,Ogle,HIGH SCHOOL,471.1,445.8,916.9000000000001,57%
470712210260004,Forreston Jr/Sr High Sch,Forreston,Ogle,HIGH SCHOOL,482.5,478.4,960.9,60%
470712220260004,Polo Comm High School,Polo,Ogle,HIGH SCHOOL,481.8,452.2,934.0,58%
470712230260003,Stillman Valley High School,Stillman Valley,Ogle,HIGH SCHOOL,499.5,477.9,977.4,61%
470712260260001,Byron High School 9-12,Byron,Ogle,HIGH SCHOOL,519.7,497.5,1017.2,63%
470980010260001,Erie High School,Erie,Whiteside,HIGH SCHOOL,513.9,485.2,999.0999999999999,62%
470980020260001,Fulton High School,Fulton,Whiteside,HIGH SCHOOL,483.3,472.2,955.5,59%
470980030260001,Prophetstown High School,Prophetstown,Whiteside,HIGH SCHOOL,475.9,446.3,922.2,57%
470980050260014,Sterling High School,Sterling,Whiteside,HIGH SCHOOL,460.0,454.4,914.4,57%
470980060260001,Morrison High School,Morrison,Whiteside,HIGH SCHOOL,494.2,470.8,965.0,60%
470983010170001,Rock Falls Township High School,Rock Falls,Whiteside,HIGH SCHOOL,491.5,457.5,949.0,59%
480721500250023,Manual High School,Peoria,Peoria,HIGH SCHOOL,378.6,357.2,735.8,45%
480721500250024,Peoria High School,Peoria,Peoria,HIGH SCHOOL,395.0,375.5,770.5,48%
480721500250025,Richwoods High School,Peoria,Peoria,HIGH SCHOOL,484.4,460.8,945.2,59%
480722650260001,Farmington Central High Sch,Farmington,Peoria,HIGH SCHOOL,478.8,453.7,932.5,58%
480723090260003,Brimfield High School,Brimfield,Peoria,HIGH SCHOOL,513.0,505.2,1018.2,63%
480723100160001,Limestone Community High School,Peoria,Peoria,HIGH SCHOOL,457.4,452.1,909.5,56%
480723210260007,Il Valley Central High School,Chillicothe,Peoria,HIGH SCHOOL,495.6,487.6,983.2,61%
480723220260004,Elmwood High School,Elmwood,Peoria,HIGH SCHOOL,509.5,475.7,985.2,61%
480723230260004,Dunlap High School,Dunlap,Peoria,HIGH SCHOOL,557.2,560.2,1117.4,69%
480723250260005,Peoria Heights High School,Peoria Heights,Peoria,HIGH SCHOOL,439.8,410.8,850.6,53%
480723260260005,Princeville High School,Princeville,Peoria,HIGH SCHOOL,506.1,502.8,1008.9000000000001,63%
480723270260008,Illini Bluffs High School,Glasford,Peoria,HIGH SCHOOL,497.8,485.8,983.6,61%
490810300170001,United Twp High School,East Moline,Rock Island,HIGH SCHOOL,444.5,428.3,872.8,54%
490810400220001,Moline Sr High School,Moline,Rock Island,HIGH SCHOOL,466.1,449.1,915.2,57%
490810410250001,Rock Island High School,Rock Island,Rock Island,HIGH SCHOOL,440.2,419.5,859.7,53%
490811000260001,Riverdale Sr High School,Port Byron,Rock Island,HIGH SCHOOL,504.3,505.5,1009.8,63%
490812000260001,Sherrard High School,Sherrard,Rock Island,HIGH SCHOOL,480.0,461.3,941.3,58%
490813000260001,Rockridge High School,Taylor Ridge,Rock Island,HIGH SCHOOL,499.4,480.6,980.0,61%
500820090260003,Lebanon High School,Lebanon,Saint Clair,HIGH SCHOOL,486.2,445.5,931.7,58%
500820190260001,Mascoutah High School,Mascoutah,Saint Clair,HIGH SCHOOL,528.6,505.5,1034.1,64%
500820400260001,Marissa Jr & Sr High School,Marissa,Saint Clair,HIGH SCHOOL,449.4,444.7,894.0999999999999,55%
500820600260003,New Athens High School,New Athens,Saint Clair,HIGH SCHOOL,471.8,437.9,909.7,56%
500820770160001,Freeburg Community High Sch,Freeburg,Saint Clair,HIGH SCHOOL,506.3,496.9,1003.2,62%
500821870260011,Cahokia High School,Cahokia,Saint Clair,HIGH SCHOOL,400.5,377.5,778.0,48%
500821890220043,East St Louis Senior High School,East Saint Louis,Saint Clair,HIGH SCHOOL,396.9,377.5,774.4,48%
500821960260001,Dupo High School,Dupo,Saint Clair,HIGH SCHOOL,439.3,416.7,856.0,53%
500822010170001,Belleville High School-East,Belleville,Saint Clair,HIGH SCHOOL,482.9,462.8,945.7,59%
500822010170002,Belleville High School-West,Belleville,Saint Clair,HIGH SCHOOL,462.5,440.8,903.3,56%
500822030170001,O Fallon High School,O Fallon,Saint Clair,HIGH SCHOOL,517.9,504.5,1022.4,63%
510652020260001,Porta High School,Petersburg,Menard,HIGH SCHOOL,480.4,461.3,941.7,58%
510652130260001,Athens Sr High School,Athens,Menard,HIGH SCHOOL,496.7,464.3,961.0,60%
510840010260001,Tri-City High School,Buffalo,Sangamon,HIGH SCHOOL,479.6,449.3,928.9000000000001,58%
51084003A260001,Rochester High School,Rochester,Sangamon,HIGH SCHOOL,505.2,485.1,990.3,61%
510840050260001,Glenwood High School,Chatham,Sangamon,HIGH SCHOOL,516.2,507.3,1023.5,63%
510840080260001,Pleasant Plains High School,Pleasant Plains,Sangamon,HIGH SCHOOL,504.6,491.4,996.0,62%
510840100260001,Auburn High School,Auburn,Sangamon,HIGH SCHOOL,483.9,445.6,929.5,58%
510840110260001,Pawnee Jr/Sr High Sch,Pawnee,Sangamon,HIGH SCHOOL,480.3,441.9,922.2,57%
510840140260001,Riverton High School,Riverton,Sangamon,HIGH SCHOOL,471.2,443.3,914.5,57%
510840150260001,Williamsville High School,Williamsville,Sangamon,HIGH SCHOOL,516.1,491.2,1007.3,62%
510840160260001,New Berlin High School,New Berlin,Sangamon,HIGH SCHOOL,495.1,479.5,974.6,60%
510841860250001,Lanphier High School,Springfield,Sangamon,HIGH SCHOOL,442.3,418.3,860.6,53%
510841860250002,Springfield High School,Springfield,Sangamon,HIGH SCHOOL,502.0,483.5,985.5,61%
510841860250003,Springfield Southeast High Sch,Springfield,Sangamon,HIGH SCHOOL,435.0,402.5,837.5,52%
530601260260001,Havana High School,Havana,Mason,HIGH SCHOOL,465.3,443.4,908.7,56%
530601890260001,Illini Central High School,Mason City,Mason,HIGH SCHOOL,479.4,456.8,936.2,58%
530601910260001,Midwest Central High School,Manito,Mason,HIGH SCHOOL,460.3,438.3,898.6,56%
530903030160002,Pekin Community High School,Pekin,Tazewell,HIGH SCHOOL,465.3,463.5,928.8,58%
530903080160001,Washington Comm High School,Washington,Tazewell,HIGH SCHOOL,520.9,526.7,1047.6,65%
530903090160001,East Peoria High School,East Peoria,Tazewell,HIGH SCHOOL,465.5,447.0,912.5,57%
530907010260001,Dee-Mack High School,Mackinaw,Tazewell,HIGH SCHOOL,513.6,475.2,988.8,61%
530907020260001,Tremont High School,Tremont,Tazewell,HIGH SCHOOL,481.7,482.1,963.8,60%
530907030260001,Delavan High School,Delavan,Tazewell,HIGH SCHOOL,506.3,480.3,986.6,61%
530907090260006,Morton High School,Morton,Tazewell,HIGH SCHOOL,546.9,537.5,1084.4,67%
531020060260001,Fieldcrest High School,Minonk,Woodford,HIGH SCHOOL,459.3,438.9,898.2,56%
531020110260001,El Paso-Gridley High School,El Paso,Woodford,HIGH SCHOOL,507.2,489.6,996.8,62%
531020210260001,Lowpoint-Washburn Jr Sr High Sch,Washburn,Woodford,HIGH SCHOOL,471.8,464.5,936.3,58%
531020600260001,Roanoke-Benson High School,Roanoke,Woodford,HIGH SCHOOL,512.8,492.0,1004.8,62%
531021220170001,Metamora High School,Metamora,Woodford,HIGH SCHOOL,527.6,518.3,1045.9,65%
531021400260001,Eureka High School,Eureka,Woodford,HIGH SCHOOL,522.1,524.8,1046.9,65%
540920020260004,Westville High School,Westville,Vermilion,HIGH SCHOOL,466.7,443.3,910.0,56%
540920040260004,Georgetown-Ridge Farm High School,Georgetown,Vermilion,HIGH SCHOOL,425.5,423.8,849.3,53%
540920110260005,Hoopeston Area High School,Hoopeston,Vermilion,HIGH SCHOOL,445.0,424.4,869.4,54%
540920760260001,Oakwood High School,Fithian,Vermilion,HIGH SCHOOL,467.6,454.9,922.5,57%
540921180240022,Danville High School,Danville,Vermilion,HIGH SCHOOL,425.0,394.6,819.6,51%
540922250170001,Armstrong High School,Armstrong,Vermilion,HIGH SCHOOL,500.3,463.1,963.4000000000001,60%
540925120260001,Salt Fork High School,Catlin,Vermilion,HIGH SCHOOL,457.3,438.3,895.6,55%
540928000800001,Bismarck Henning Rossville Alvin Cooperative High School,Bismarck,Vermilion,HIGH SCHOOL,468.9,452.7,921.5999999999999,57%
56099200U260001,Beecher High School,Beecher,Will,HIGH SCHOOL,515.3,473.5,988.8,61%
56099201U260001,Crete-Monee High School,Crete,Will,HIGH SCHOOL,443.1,417.4,860.5,53%
560992020220001,Plainfield High School,Plainfield,Will,HIGH SCHOOL,482.3,478.3,960.6,60%
560992020220002,Plainfield South High School,Plainfield,Will,HIGH SCHOOL,472.9,471.3,944.2,59%
560992020220003,Plainfield North High School,Plainfield,Will,HIGH SCHOOL,524.7,514.2,1038.9,64%
560992020220004,Plainfield East High School,Plainfield,Will,HIGH SCHOOL,490.1,482.2,972.3,60%
560992040170001,Joliet Central High School,Joliet,Will,HIGH SCHOOL,431.2,416.7,847.9,52%
560992040170003,Joliet West High School,Joliet,Will,HIGH SCHOOL,459.2,444.3,903.5,56%
560992050170001,Lockport Township High Sch East,Lockport,Will,HIGH SCHOOL,502.8,500.7,1003.5,62%
56099207U260001,Peotone High School,Peotone,Will,HIGH SCHOOL,467.5,438.5,906.0,56%
56099209U260001,Wilmington High School,Wilmington,Will,HIGH SCHOOL,488.1,468.2,956.3,59%
560992100160001,Lincoln-Way Central High School,New Lenox,Will,HIGH SCHOOL,549.9,540.7,1090.6,68%
560992100160002,Lincoln-Way East High School,Frankfort,Will,HIGH SCHOOL,553.0,541.8,1094.8,68%
560992100160004,Lincoln Way West,New Lenox,Will,HIGH SCHOOL,535.7,523.0,1058.7,66%
56099255U260001,Reed-Custer High School,Braidwood,Will,HIGH SCHOOL,478.8,466.8,945.6,59%
56099365U260007,Bolingbrook High School,Bolingbrook,Will,HIGH SCHOOL,476.9,465.7,942.5999999999999,58%
56099365U260008,Romeoville High School,Romeoville,Will,HIGH SCHOOL,467.6,459.8,927.4000000000001,57%
651089010800001,University High School,Normal,State Of Illinois,HIGH SCHOOL,561.2,574.5,1135.7,70%
651089020800001,University of Illinois High Sch,Urbana,State Of Illinois,HIGH SCHOOL,716.2,723.8,1440.0,9%
651089030800001,Illinois Mathematics and Science Academy,Aurora,State Of Illinois,HIGH SCHOOL,668.6,710.5,1379.1,86%
