RCDTS,School Name,City,County,District Size,School Type,# Science Proficiency Total Student,# Science Proficiency - Male,# Science Proficiency - Female,# Science Proficiency - White,# Science Proficiency - Black or African American,# Science Proficiency - Hispanic or Latino,# Science Proficiency - Asian,# Science Proficiency - Native Hawaiian or Other Pacific Islander,# Science Proficiency - American Indian or Alaska Native,# Science Proficiency - Two or More Races,# Science Proficiency - Children with Disabilities
010010010260001,Seymour High School,Payson,Adams,MEDIUM,HIGH SCHOOL,38.0,20.0,18.0,35.0,,,,,,,
010010010262002,Seymour Elementary School,Payson,Adams,MEDIUM,ELEMENTARY,11.0,5.0,6.0,10.0,,,,,,,
010010020260001,Liberty High School,Liberty,Adams,MEDIUM,HIGH SCHOOL,68.0,30.0,38.0,62.0,,,,,,,4.0
010010020262002,Liberty Elementary School,Liberty,Adams,MEDIUM,ELEMENTARY,33.0,16.0,17.0,31.0,,,,,,,7.0
010010030260001,Central High School,Camp Point,Adams,MEDIUM,HIGH SCHOOL,49.0,28.0,21.0,47.0,,,,,,,
010010030261001,Central Junior High School,Camp Point,Adams,MEDIUM,MIDDLE SCHL,79.0,44.0,35.0,75.0,,,,,,,8.0
010010030262003,Central Elementary Grade School,Camp Point,Adams,MEDIUM,ELEMENTARY,,,,,,,,,,,
010010030262008,Central 3-4 Middle School,Golden,Adams,MEDIUM,ELEMENTARY,,,,,,,,,,,
010010040260001,Unity High School,Mendon,Adams,MEDIUM,HIGH SCHOOL,16.0,9.0,7.0,16.0,,,,,,,
010010040262006,Unity Elementary School,Mendon,Adams,MEDIUM,ELEMENTARY,,,,,,,,,,,
010010040262007,Unity Middle School,Mendon,Adams,MEDIUM,ELEMENTARY,38.0,20.0,18.0,37.0,,,,,,,4.0
010011720220003,Quincy Sr High School,Quincy,Adams,LARGE,HIGH SCHOOL,255.0,119.0,136.0,219.0,6.0,6.0,,,,21.0,21.0
010011720221003,Quincy Jr High School,Quincy,Adams,LARGE,MIDDLE SCHL,193.0,94.0,99.0,164.0,7.0,4.0,,,,14.0,19.0
