RCDTS,School Name,City,County,District Size,School Type,# Science Proficiency Total Student,# Science Proficiency - Male,# Science Proficiency - Female,# Science Proficiency - White,# Science Proficiency - Black or African American,# Science Proficiency - Hispanic or Latino,# Science Proficiency - Asian,# Science Proficiency - Native Hawaiian or Other Pacific Islander,# Science Proficiency - American Indian or Alaska Native,# Science Proficiency - Two or More Races,# Science Proficiency - Children with Disabilities
010011720222004,Sarah Atwater Denman Elementary School,Quincy,Adams,LARGE,ELEMENTARY,35.0,14.0,21.0,31.0,,,,,,,0.0
010011720222006,Colonel George Iles Elementary School,Quincy,Adams,LARGE,ELEMENTARY,46.0,26.0,20.0,40.0,,,,,,2.0,2.0
010011720222009,Thomas S Baldwin Elementary School,Quincy,Adams,LARGE,ELEMENTARY,40.0,26.0,14.0,33.0,,,,,,,3.0
010011720222016,Lincoln-Douglas Elementary School,Quincy,Adams,LARGE,ELEMENTARY,40.0,20.0,20.0,32.0,,,,,,,1.0
010011720222017,Dr. Abby Fox Rooney Elementary School,Quincy,Adams,LARGE,ELEMENTARY,34.0,19.0,15.0,29.0,,,,,,3.0,4.0
010011720223004,Early Childhood,Quincy,Adams,LARGE,ELEMENTARY,,,,,,,,,,,
010050010260001,Brown County High School,Mount Sterling,Brown,MEDIUM,HIGH SCHOOL,30.0,17.0,13.0,27.0,,,,,,,
010050010261002,Brown County Middle School,Mount Sterling,Brown,MEDIUM,MIDDLE SCHL,72.0,43.0,29.0,71.0,,,,,,,1.0
010050010262002,Brown County Elementary School,Mount Sterling,Brown,MEDIUM,ELEMENTARY,,,,,,,,,,,
010090150260007,Beardstown Jr/Sr High School,Beardstown,Cass,MEDIUM,HIGH SCHOOL,89.0,53.0,35.0,39.0,6.0,40.0,,,,,2.0
010090150262003,Gard Elementary School,Beardstown,Cass,MEDIUM,ELEMENTARY,,,,,,,,,,,
010090150263002,Grand Ave Sch,Beardstown,Cass,MEDIUM,PreK,,,,,,,,,,,
010090640260003,Virginia Jr/ Sr High School,Virginia,Cass,SMALL,HIGH SCHOOL,21.0,8.0,13.0,18.0,,,,,,,6.0
010090640262001,Virginia Elem School,Virginia,Cass,SMALL,ELEMENTARY,18.0,,12.0,18.0,,,,,,,
010092620260002,A-C Central High School,Ashland,Cass,SMALL,HIGH SCHOOL,11.0,8.0,,11.0,,,,,,,
010092620261002,A-C Central Middle School,Ashland,Cass,SMALL,MIDDLE SCHL,23.0,10.0,13.0,20.0,,,,,,,
010092620262001,A-C Central Elementary School,Chandlerville,Cass,SMALL,ELEMENTARY,,,,,,,,,,,
010690010260001,Franklin Jr/Sr High School,Franklin,Morgan,SMALL,HIGH SCHOOL,26.0,11.0,15.0,26.0,,,,,,,
010690010262005,Franklin East Grade School,Franklin,Morgan,SMALL,ELEMENTARY,,,,,,,,,,,
010690010262006,Franklin Elementary School,Franklin,Morgan,SMALL,ELEMENTARY,10.0,,,9.0,,,,,,,
010690060260001,Waverly Junior/Senior High School,Waverly,Morgan,SMALL,HIGH SCHOOL,15.0,9.0,6.0,15.0,,,,,,,
010690060262002,Waverly Elementary School,Waverly,Morgan,SMALL,ELEMENTARY,12.0,5.0,7.0,10.0,,,,,,,
010690110260001,Meredosia-Chambersburg High Sch,Meredosia,Morgan,SMALL,HIGH SCHOOL,,,,,,,,,,,
010690110261001,Meredosia-Chambersburg Jr High,Meredosia,Morgan,SMALL,MIDDLE SCHL,0.0,0.0,,0.0,,,,,,,
010690110262003,Meredosia-Chambersburg Elem Sch,Meredosia,Morgan,SMALL,ELEMENTARY,1.0,1.0,,1.0,,,,,,,
010690270260001,Triopia Jr-Sr High School,Concord,Morgan,SMALL,HIGH SCHOOL,38.0,15.0,23.0,37.0,,,,,,,3.0
010690270262002,Triopia Grade School,Concord,Morgan,SMALL,ELEMENTARY,22.0,16.0,,21.0,,,,,,,
010691170220014,Jacksonville High School,Jacksonville,Morgan,LARGE,HIGH SCHOOL,72.0,38.0,34.0,66.0,2.0,,,,,,5.0
010691170221013,Jacksonville Middle School,Jacksonville,Morgan,LARGE,MIDDLE SCHL,131.0,61.0,70.0,108.0,5.0,6.0,,,,12.0,13.0
010691170222001,Eisenhower Elem School,Jacksonville,Morgan,LARGE,ELEMENTARY,29.0,14.0,15.0,25.0,,,,,,,6.0
010691170222005,Washington Elem School,Jacksonville,Morgan,LARGE,ELEMENTARY,10.0,7.0,3.0,8.0,,,,,,,3.0
010691170222006,Lincoln Elem School,Jacksonville,Morgan,LARGE,ELEMENTARY,7.0,3.0,4.0,5.0,1.0,,,,,,
010691170222007,South Jacksonville Elem School,South Jacksonville,Morgan,LARGE,ELEMENTARY,39.0,19.0,20.0,32.0,,,,,,,
010691170222008,North Jacksonville School,Jacksonville,Morgan,LARGE,ELEMENTARY,16.0,4.0,12.0,12.0,,,,,,,
010691170222009,Murrayville-Woodson Elem School,Murrayville,Morgan,LARGE,ELEMENTARY,9.0,,,9.0,,,,,,,
010691170223012,The Early Years,Jacksonville,Morgan,LARGE,PreK,,,,,,,,,,,
010750030260002,Pleasant Hill High School,Pleasant Hill,Pike,SMALL,HIGH SCHOOL,12.0,6.0,6.0,12.0,,,,,,,
010750030262001,Pleasant Hill Elem School,Pleasant Hill,Pike,SMALL,ELEMENTARY,32.0,13.0,19.0,30.0,,,,,,,9.0
010750040260002,Griggsville-Perry High School,Griggsville,Pike,SMALL,HIGH SCHOOL,23.0,15.0,8.0,23.0,,,,,,,
010750040261002,Griggsville-Perry Middle School,Perry,Pike,SMALL,MIDDLE SCHL,38.0,22.0,16.0,38.0,,,,,,,4.0
010750040262001,Griggsville-Perry Primary School,Griggsville,Pike,SMALL,ELEMENTARY,,,,,,,,,,,
010750100260009,Pittsfield High School,Pittsfield,Pike,MEDIUM,HIGH SCHOOL,42.0,25.0,17.0,41.0,,,,,,,1.0
010750100262007,Pittsfield South Elem School,Pittsfield,Pike,MEDIUM,ELEMENTARY,,,,,,,,,,,
010750100262010,Pikeland Community School,Pittsfield,Pike,MEDIUM,ELEMENTARY,77.0,33.0,44.0,74.0,,,,,,,4.0
010750120260001,Western High School,Barry,Pike,MEDIUM,HIGH SCHOOL,19.0,9.0,10.0,18.0,,,,,,,
010750120261001,Western Jr High School,Kinderhook,Pike,MEDIUM,MIDDLE SCHL,18.0,13.0,5.0,17.0,,,,,,,
010750120262001,Western Barry Elem,Barry,Pike,MEDIUM,ELEMENTARY,18.0,9.0,9.0,16.0,,,,,,,6.0
010860010260001,Winchester High School,Winchester,Scott,MEDIUM,HIGH SCHOOL,15.0,4.0,11.0,13.0,,,,,,,
010860010262002,Winchester Elem School,Winchester,Scott,MEDIUM,ELEMENTARY,41.0,22.0,19.0,41.0,,,,,,,5.0
010860020260001,Bluffs High School,Bluffs,Scott,SMALL,HIGH SCHOOL,10.0,6.0,,10.0,,,,,,,
010860020261001,Bluffs Junior High School,Bluffs,Scott,SMALL,MIDDLE SCHL,7.0,,,7.0,,,,,,,
010860020262001,Bluffs Elementary School,Bluffs,Scott,SMALL,ELEMENTARY,8.0,,,8.0,,,,,,,
030030010260001,Mulberry Grove Sr High School,Mulberry Grove,Bond,SMALL,HIGH SCHOOL,15.0,,12.0,14.0,,,,,,,
030030010261001,Mulberry Grove Jr High School,Mulberry Grove,Bond,SMALL,MIDDLE SCHL,7.0,,6.0,7.0,,,,,,,
030030010262001,Mulberry Grove Elem School,Mulberry Grove,Bond,SMALL,ELEMENTARY,16.0,9.0,7.0,14.0,,,,,,,
030030020260001,Bond Cty Comm Unit 2 High School,Greenville,Bond,LARGE,HIGH SCHOOL,61.0,26.0,35.0,54.0,,,,,,,9.0
030030020261002,Greenville Jr High School,Greenville,Bond,LARGE,MIDDLE SCHL,49.0,30.0,19.0,46.0,,,,,,,6.0
030030020262003,Greenville Elem School,Greenville,Bond,LARGE,ELEMENTARY,69.0,34.0,35.0,60.0,,,,,,,10.0
030030020262004,Pocahontas Center,Pocahontas,Bond,LARGE,ELEMENTARY,29.0,14.0,15.0,29.0,,,,,,,7.0
030030020263002,Bond County CUSD 2 Early Childhood Center,Greenville,Bond,LARGE,PreK,,,,,,,,,,,
030110010260002,Morrisonville High School,Morrisonville,Christian,SMALL,HIGH SCHOOL,13.0,,5.0,13.0,,,,,,,
030110010261001,Morrisonville Jr High School,Morrisonville,Christian,SMALL,MIDDLE SCHL,13.0,9.0,,12.0,,,,,,,
030110010262001,Morrisonville Elem School,Morrisonville,Christian,SMALL,ELEMENTARY,6.0,3.0,3.0,6.0,,,,,,,
030110030260006,Taylorville Sr High School,Taylorville,Christian,LARGE,HIGH SCHOOL,96.0,44.0,52.0,94.0,,,,,,,2.0
030110030261005,Taylorville Jr High School,Taylorville,Christian,LARGE,MIDDLE SCHL,218.0,122.0,96.0,201.0,,,,,,9.0,12.0
030110030262001,Memorial Elem School,Taylorville,Christian,LARGE,ELEMENTARY,,,,,,,,,,,
030110030262003,North Elem School,Taylorville,Christian,LARGE,ELEMENTARY,,,,,,,,,,,
030110040260002,Edinburg High School,Edinburg,Christian,SMALL,HIGH SCHOOL,5.0,,,5.0,,,,,,,
030110040261001,Edinburg Jr High School,Edinburg,Christian,SMALL,MIDDLE SCHL,5.0,,,5.0,,,,,,,
030110040262001,Edinburg Elem School,Edinburg,Christian,SMALL,ELEMENTARY,14.0,,7.0,14.0,,,,,,,
030110080260006,Pana Sr High School,Pana,Christian,MEDIUM,HIGH SCHOOL,43.0,19.0,24.0,43.0,,,,,,,3.0
030110080261005,Pana Jr High School,Pana,Christian,MEDIUM,MIDDLE SCHL,50.0,19.0,31.0,47.0,,,,,,,7.0
030110080262001,Lincoln Elem School,Pana,Christian,MEDIUM,ELEMENTARY,53.0,23.0,30.0,50.0,,,,,,,5.0
030110080262003,Washington Elem School,Pana,Christian,MEDIUM,ELEMENTARY,,,,,,,,,,,
030110140240001,South Fork Jr Sr High School,Kincaid,Christian,SMALL,HIGH SCHOOL,15.0,11.0,4.0,13.0,,,,,,,
030110140242001,South Fork Elementary School,Kincaid,Christian,SMALL,ELEMENTARY,5.0,,,5.0,,,,,,,
030250100260001,Altamont High School,Altamont,Effingham,MEDIUM,HIGH SCHOOL,24.0,16.0,8.0,21.0,,,,,,,
030250100262002,Altamont Grade School,Altamont,Effingham,MEDIUM,ELEMENTARY,54.0,24.0,30.0,50.0,,,,,,,4.0
030250200260001,Beecher City Jr-Sr High School,Beecher City,Effingham,SMALL,HIGH SCHOOL,31.0,16.0,15.0,27.0,,,,,,,
030250200262003,Beecher City Grade School,Beecher City,Effingham,SMALL,ELEMENTARY,18.0,,11.0,15.0,,,,,,,
030250300260001,Dieterich Jr/Sr High School,Dieterich,Effingham,MEDIUM,HIGH SCHOOL,41.0,23.0,18.0,39.0,,,,,,,1.0
030250300262002,Dieterich Elem School,Dieterich,Effingham,MEDIUM,ELEMENTARY,23.0,9.0,14.0,23.0,,,,,,,2.0
030250400260001,Effingham High School,Effingham,Effingham,LARGE,HIGH SCHOOL,105.0,47.0,58.0,95.0,,,,,,,3.0
030250400261001,Effingham Junior High School,Effingham,Effingham,LARGE,MIDDLE SCHL,100.0,45.0,55.0,93.0,,4.0,,,,,4.0
030250400262002,Central Grade School,Effingham,Effingham,LARGE,ELEMENTARY,88.0,41.0,47.0,81.0,,,,,,,6.0
030250400262006,Early Learning Center,Effingham,Effingham,LARGE,ELEMENTARY,,,,,,,,,,,
030250400262008,South Side Grade School,Effingham,Effingham,LARGE,ELEMENTARY,,,,,,,,,,,
030250400263002,Effingham Unit 40 Preschool,Effingham,Effingham,LARGE,HIGH SCHOOL,,,,,,,,,,,
030250500260001,Teutopolis High School,Teutopolis,Effingham,MEDIUM,HIGH SCHOOL,62.0,35.0,27.0,62.0,,,,,,,2.0
030250500261001,Teutopolis Junior High School,Teutopolis,Effingham,MEDIUM,MIDDLE SCHL,77.0,33.0,44.0,76.0,,,,,,,6.0
030250500262002,Teutopolis Grade School,Teutopolis,Effingham,MEDIUM,ELEMENTARY,58.0,41.0,17.0,57.0,,,,,,,
030262010260003,Brownstown High School,Brownstown,Fayette,SMALL,HIGH SCHOOL,10.0,4.0,6.0,10.0,,,,,,,
030262010261001,Brownstown Jr High School,Brownstown,Fayette,SMALL,MIDDLE SCHL,16.0,10.0,6.0,16.0,,,,,,,
030262010262001,Brownstown Elem School,Brownstown,Fayette,SMALL,ELEMENTARY,7.0,4.0,3.0,7.0,,,,,,,
030262020260002,St Elmo Sr High School,Saint Elmo,Fayette,SMALL,HIGH SCHOOL,17.0,5.0,12.0,17.0,,,,,,,
030262020261001,St Elmo Jr High School,Saint Elmo,Fayette,SMALL,MIDDLE SCHL,18.0,10.0,8.0,17.0,,,,,,,
030262020262001,St Elmo Elem School,Saint Elmo,Fayette,SMALL,ELEMENTARY,12.0,,7.0,12.0,,,,,,,
030262030260001,Vandalia Community High School,Vandalia,Fayette,MEDIUM,HIGH SCHOOL,25.0,10.0,15.0,25.0,,,,,,,
030262030262008,Vandalia Elementary School,Vandalia,Fayette,MEDIUM,ELEMENTARY,,,,,,,,,,,
030262030262009,Vandalia Junior High School,Vandalia,Fayette,MEDIUM,ELEMENTARY,120.0,71.0,49.0,113.0,,,,,,6.0,10.0
030262040260002,Ramsey High School,Ramsey,Fayette,SMALL,HIGH SCHOOL,50.0,22.0,28.0,49.0,,,,,,,2.0
030262040262001,Ramsey Elem School,Ramsey,Fayette,SMALL,ELEMENTARY,14.0,9.0,5.0,13.0,,,,,,,
030680020260001,Lincolnwood High School,Raymond,Montgomery,MEDIUM,HIGH SCHOOL,17.0,8.0,9.0,15.0,,,,,,,
030680020261002,Lincolnwood Jr High School,Raymond,Montgomery,MEDIUM,MIDDLE SCHL,25.0,10.0,15.0,25.0,,,,,,,4.0
030680020262003,Farmersville Elem School,Farmersville,Montgomery,MEDIUM,ELEMENTARY,,,,,,,,,,,
030680020262005,Raymond Grade School,Raymond,Montgomery,MEDIUM,ELEMENTARY,17.0,9.0,8.0,15.0,,,,,,,
030680030260001,Hillsboro High School,Hillsboro,Montgomery,MEDIUM,HIGH SCHOOL,48.0,24.0,24.0,45.0,,,,,,,5.0
030680030261002,Hillsboro Jr High School,Hillsboro,Montgomery,MEDIUM,MIDDLE SCHL,44.0,21.0,23.0,42.0,,,,,,,0.0
030680030262003,Beckemeyer Elem School,Hillsboro,Montgomery,MEDIUM,ELEMENTARY,60.0,34.0,26.0,56.0,,,,,,,9.0
030680030263001,Coffeen Early Childhood Center,Coffeen,Montgomery,MEDIUM,ELEMENTARY,,,,,,,,,,,
030680120260001,Litchfield Senior High School,Litchfield,Montgomery,MEDIUM,HIGH SCHOOL,52.0,28.0,24.0,48.0,,,,,,,1.0
030680120261002,Litchfield Middle School,Litchfield,Montgomery,MEDIUM,MIDDLE SCHL,61.0,36.0,25.0,57.0,,,,,,,2.0
030680120262003,J D Colt Elem School,Litchfield,Montgomery,MEDIUM,ELEMENTARY,,,,,,,,,,,
030680120262004,Madison Park Elem School,Litchfield,Montgomery,MEDIUM,ELEMENTARY,,,,,,,,,,,
030680120262006,Litchfield Elementary School,Litchfield,Montgomery,MEDIUM,ELEMENTARY,59.0,36.0,23.0,55.0,,,,,,,3.0
030680120263001,Litchfield Prekindergarten,Litchfield,Montgomery,MEDIUM,PreK,,,,,,,,,,,
030680220260001,Nokomis Jr/Sr High Sch,Nokomis,Montgomery,MEDIUM,HIGH SCHOOL,41.0,27.0,14.0,38.0,,,,,,,6.0
030680220262003,North Elem School,Nokomis,Montgomery,MEDIUM,ELEMENTARY,22.0,8.0,14.0,20.0,,,,,,,
040041000260001,Belvidere High School,Belvidere,Boone,LARGE,HIGH SCHOOL,116.0,63.0,53.0,65.0,,43.0,,,,,15.0
040041000260002,Belvidere North High Sch,Belvidere,Boone,LARGE,HIGH SCHOOL,202.0,94.0,108.0,144.0,,49.0,,,,,20.0
040041000261002,Belvidere South Middle School,Belvidere,Boone,LARGE,MIDDLE SCHL,130.0,69.0,61.0,69.0,2.0,58.0,,,,,13.0
040041000261003,Belvidere Central Middle School,Belvidere,Boone,LARGE,MIDDLE SCHL,149.0,70.0,79.0,96.0,,43.0,,,,5.0,11.0
040041000262003,Caledonia Elem School,Caledonia,Boone,LARGE,ELEMENTARY,32.0,10.0,22.0,26.0,,6.0,,,,,
040041000262005,Lincoln Elem School,Belvidere,Boone,LARGE,ELEMENTARY,38.0,19.0,19.0,24.0,,13.0,,,,,1.0
040041000262007,Perry Elem School,Belvidere,Boone,LARGE,ELEMENTARY,14.0,8.0,6.0,9.0,,4.0,,,,,3.0
040041000262008,Washington Academy,Belvidere,Boone,LARGE,ELEMENTARY,22.0,13.0,9.0,12.0,,8.0,,,,,2.0
040041000262009,Meehan Elementary School,Belvidere,Boone,LARGE,ELEMENTARY,47.0,29.0,18.0,25.0,,19.0,,,,,4.0
040041000262010,Seth Whitman Elem Sch,Belvidere,Boone,LARGE,ELEMENTARY,58.0,36.0,22.0,42.0,,15.0,,,,,5.0
040042000260003,North Boone High School,Poplar Grove,Boone,MEDIUM,HIGH SCHOOL,37.0,17.0,20.0,27.0,,8.0,,,,,3.0
040042000261001,North Boone Middle School,Poplar Grove,Boone,MEDIUM,MIDDLE SCHL,55.0,29.0,26.0,41.0,,12.0,,,,,9.0
040042000262001,Capron Elem School,Capron,Boone,MEDIUM,ELEMENTARY,,,,,,,,,,,
040042000262002,Manchester Elem School,Poplar Grove,Boone,MEDIUM,ELEMENTARY,,,,,,,,,,,
040042000262004,Poplar Grove Elem School,Poplar Grove,Boone,MEDIUM,ELEMENTARY,,,,,,,,,,,
040042000262005,North Boone Upper Elem Sch,Poplar Grove,Boone,MEDIUM,ELEMENTARY,53.0,25.0,28.0,33.0,,15.0,,,,5.0,6.0
041011220220002,Harlem High School,Machesney Park,Winnebago,LARGE,HIGH SCHOOL,244.0,118.0,126.0,177.0,10.0,39.0,7.0,,,10.0,32.0
041011220221005,Harlem Middle School,Loves Park,Winnebago,LARGE,MIDDLE SCHL,203.0,116.0,87.0,154.0,9.0,26.0,,,,10.0,23.0
041011220222005,Loves Park Elem School,Loves Park,Winnebago,LARGE,ELEMENTARY,17.0,4.0,13.0,12.0,3.0,,,,,,3.0
041011220222006,Maple Elem School,Loves Park,Winnebago,LARGE,ELEMENTARY,18.0,12.0,6.0,13.0,,,,,,,
041011220222007,Marquette Elem School,Machesney Park,Winnebago,LARGE,ELEMENTARY,,,,,,,,,,,
041011220222008,Rock Cut Elem School,Loves Park,Winnebago,LARGE,ELEMENTARY,21.0,9.0,12.0,13.0,,5.0,,,,,2.0
041011220222010,Ralston Elem School,Machesney Park,Winnebago,LARGE,ELEMENTARY,25.0,12.0,13.0,20.0,,,,,,,3.0
041011220222011,Windsor Elem School,Loves Park,Winnebago,LARGE,ELEMENTARY,26.0,18.0,8.0,20.0,,,,,,,4.0
041011220222013,Machesney Elem School,Machesney Park,Winnebago,LARGE,ELEMENTARY,44.0,19.0,25.0,36.0,,4.0,,,,,9.0
041011220222014,Olson Park Elem School,Machesney Park,Winnebago,LARGE,ELEMENTARY,44.0,26.0,18.0,35.0,,,,,,,4.0
041011220222015,Donald C Parker Early Educ Center,Machesney Park,Winnebago,LARGE,ELEMENTARY,,,,,,,,,,,
041011310041002,Roscoe Middle School,Roscoe,Winnebago,MEDIUM,MIDDLE SCHL,138.0,74.0,64.0,116.0,,10.0,,,,,10.0
041011310042001,Kinnikinnick School,Roscoe,Winnebago,MEDIUM,ELEMENTARY,117.0,57.0,60.0,102.0,,5.0,,,,,19.0
041011310042002,Ledgewood Elem School,Roscoe,Winnebago,MEDIUM,ELEMENTARY,,,,,,,,,,,
041011310042003,Stone Creek School,Roscoe,Winnebago,MEDIUM,ELEMENTARY,,,,,,,,,,,
041011330041001,Willowbrook Middle School,South Beloit,Winnebago,MEDIUM,MIDDLE SCHL,98.0,56.0,42.0,86.0,,,,,,7.0,10.0
041011330042001,Prairie Hill Elem School,South Beloit,Winnebago,MEDIUM,ELEMENTARY,,,,,,,,,,,
041011340042001,Shirland C C School,Shirland,Winnebago,SMALL,ELEMENTARY,17.0,9.0,8.0,14.0,,,,,,,
041011400041001,Stephen Mack Middle School,Rockton,Winnebago,MEDIUM,MIDDLE SCHL,131.0,70.0,61.0,115.0,,8.0,,,,,13.0
041011400042001,Rockton Elem School,Rockton,Winnebago,MEDIUM,ELEMENTARY,,,,,,,,,,,
041011400042002,Whitman Post Elem School,Rockton,Winnebago,MEDIUM,ELEMENTARY,113.0,56.0,57.0,86.0,,13.0,,,,10.0,14.0
041012050250001,Auburn High School,Rockford,Winnebago,LARGE,HIGH SCHOOL,97.0,40.0,57.0,47.0,16.0,18.0,14.0,,,2.0,5.0
041012050250002,Rockford East High School,Rockford,Winnebago,LARGE,HIGH SCHOOL,90.0,44.0,46.0,33.0,16.0,27.0,8.0,,,6.0,3.0
041012050250003,Guilford High School,Rockford,Winnebago,LARGE,HIGH SCHOOL,178.0,91.0,87.0,100.0,19.0,41.0,12.0,,,6.0,12.0
041012050250004,Jefferson High School,Rockford,Winnebago,LARGE,HIGH SCHOOL,101.0,65.0,36.0,35.0,16.0,46.0,,,,3.0,10.0
041012050251001,West Middle School,Rockford,Winnebago,LARGE,MIDDLE SCHL,71.0,27.0,44.0,32.0,16.0,16.0,,,,7.0,4.0
041012050251006,Eisenhower Middle School,Rockford,Winnebago,LARGE,MIDDLE SCHL,101.0,55.0,46.0,51.0,14.0,22.0,,,,9.0,6.0
041012050251008,Bernard W Flinn Middle School,Rockford,Winnebago,LARGE,MIDDLE SCHL,63.0,36.0,27.0,24.0,9.0,19.0,6.0,,,5.0,3.0
041012050251009,Abraham Lincoln Middle School,Rockford,Winnebago,LARGE,MIDDLE SCHL,25.0,10.0,15.0,14.0,4.0,4.0,,,,3.0,1.0
041012050251010,Kennedy Middle School,Rockford,Winnebago,LARGE,MIDDLE SCHL,12.0,10.0,2.0,5.0,4.0,3.0,,,,,4.0
041012050252014,Barbour Two-Way Lang Immersion,Rockford,Winnebago,LARGE,ELEMENTARY,35.0,15.0,20.0,,,32.0,,,,,2.0
041012050252017,C Henry Bloom Elem School,Rockford,Winnebago,LARGE,ELEMENTARY,39.0,20.0,19.0,18.0,6.0,10.0,,,,5.0,7.0
041012050252018,Brookview Elem School,Rockford,Winnebago,LARGE,ELEMENTARY,35.0,18.0,17.0,24.0,4.0,3.0,,,,,2.0
041012050252019,Clifford P Carlson Elem School,Rockford,Winnebago,LARGE,ELEMENTARY,19.0,11.0,8.0,11.0,4.0,2.0,,,,,1.0
04101205025201C,Legacy Acad of Excellence Charter Sch,Rockford,Winnebago,LARGE,CHARTER SCH,14.0,5.0,9.0,,7.0,,,,,,
041012050252022,Conklin Elem School,Rockford,Winnebago,LARGE,ELEMENTARY,11.0,6.0,5.0,,5.0,4.0,,,,,1.0
041012050252024,Ellis Elementary School,Rockford,Winnebago,LARGE,ELEMENTARY,9.0,4.0,5.0,,5.0,,,,,,3.0
041012050252027,Arthur Froberg Elem School,Rockford,Winnebago,LARGE,ELEMENTARY,23.0,13.0,10.0,16.0,0.0,5.0,,,,,5.0
041012050252029,Gregory Elem School,Rockford,Winnebago,LARGE,ELEMENTARY,27.0,11.0,16.0,8.0,2.0,14.0,,,,,
04101205025202C,Galapagos Rockford Charter Sch,Rockford,Winnebago,LARGE,CHARTER SCH,12.0,5.0,7.0,,5.0,4.0,,,,,0.0
041012050252034,Haskell Elementary School,Rockford,Winnebago,LARGE,ELEMENTARY,16.0,12.0,4.0,,7.0,,,,,,
041012050252037,Swan Hillman Elem School,Rockford,Winnebago,LARGE,ELEMENTARY,20.0,11.0,9.0,2.0,2.0,11.0,,,,,2.0
041012050252039,Maud E Johnson Elem School,Rockford,Winnebago,LARGE,ELEMENTARY,15.0,7.0,8.0,7.0,2.0,2.0,,,,,
04101205025203C,Jackson Charter School,Rockford,Winnebago,LARGE,CHARTER SCH,3.0,1.0,2.0,,2.0,,,,,,
041012050252040,Constance Lane Elementary School,Rockford,Winnebago,LARGE,ELEMENTARY,8.0,4.0,4.0,1.0,2.0,2.0,,,,1.0,3.0
041012050252041,Julia Lathrop Elem School,Rockford,Winnebago,LARGE,ELEMENTARY,6.0,4.0,2.0,0.0,,6.0,,,,,
041012050252043,McIntosh Elementary,Rockford,Winnebago,LARGE,ELEMENTARY,8.0,3.0,5.0,,3.0,0.0,,,,,
041012050252051,Riverdahl Elem School,Rockford,Winnebago,LARGE,ELEMENTARY,14.0,9.0,5.0,4.0,2.0,5.0,,,,,1.0
041012050252054,Rolling Green,Rockford,Winnebago,LARGE,ELEMENTARY,20.0,11.0,9.0,10.0,1.0,5.0,,,,,0.0
041012050252056,Spring Creek Elem School,Rockford,Winnebago,LARGE,ELEMENTARY,32.0,17.0,15.0,20.0,5.0,,,,,,
041012050252063,R K Welsh Elem School,Rockford,Winnebago,LARGE,ELEMENTARY,21.0,10.0,11.0,6.0,6.0,5.0,,,,4.0,3.0
041012050252064,West View Elem School,Rockford,Winnebago,LARGE,ELEMENTARY,26.0,18.0,8.0,11.0,8.0,6.0,,,,,1.0
041012050252066,Whitehead Elem School,Rockford,Winnebago,LARGE,ELEMENTARY,26.0,15.0,11.0,9.0,,14.0,,,,,2.0
041012050252067,Cherry Valley Elementary School,Rockford,Winnebago,LARGE,ELEMENTARY,46.0,23.0,23.0,27.0,2.0,9.0,,,,,2.0
041012050252078,Thurgood Marshall Elementary,Rockford,Winnebago,LARGE,ELEMENTARY,,,,,,,,,,,
041012050252080,Washington Elementary School,Rockford,Winnebago,LARGE,ELEMENTARY,12.0,5.0,7.0,,1.0,9.0,,,,,
041012050252084,Lewis Lemon Elementary,Rockford,Winnebago,LARGE,ELEMENTARY,7.0,3.0,4.0,,3.0,,,,,,2.0
